ID,Age,Income (USD),Rent (USD),Groceries (USD),Eating Out (USD),Entertainment (USD),Subscription Services (USD),Education (USD),Online Shopping (USD),Savings (USD),Investments (USD),Travel (USD),Fitness (USD),Miscellaneous (USD)
404,22,3975,1761,211,186,344,56,1056,479,785,1597,1755,19,230
405,23,5110,1388,154,203,394,51,259,524,1226,511,444,60,233
406,24,5755,655,436,437,111,41,1257,327,220,252,1050,138,204
407,20,7792,1856,523,258,200,41,1538,344,2566,4133,1454,258,52
408,27,4323,1575,566,321,250,51,1882,598,2497,628,572,111,134
409,20,3235,534,215,192,320,41,1331,194,141,3476,1612,92,294
410,22,3085,526,242,148,167,35,738,533,128,986,911,200,217
411,23,1566,1848,300,426,299,10,795,191,1065,1725,1156,152,399
412,26,4561,1636,279,357,208,65,69,521,2015,2093,851,246,162
413,22,3928,348,301,118,366,11,1477,353,2932,1701,599,296,247
414,18,5653,417,463,296,369,90,1462,303,2100,304,1518,286,139
415,21,1841,353,578,310,333,39,1848,494,2161,4078,136,178,372
416,22,6749,1973,152,325,147,80,1387,73,1019,2280,882,153,43
417,27,4274,864,570,128,26,61,982,477,917,4340,436,193,46
418,27,6791,1367,483,195,66,18,1789,598,2972,2807,1012,54,94
419,22,4317,352,279,160,72,31,480,439,1608,2886,717,252,260
420,24,4161,1909,513,307,206,43,1167,633,1312,3454,1471,277,42
421,21,2732,857,516,142,57,58,23,651,971,1024,1893,262,180
422,18,5374,1848,412,62,245,10,964,428,394,4312,335,298,60
423,22,3901,1425,407,309,72,82,1448,323,963,2975,747,221,257
424,24,2994,1167,236,475,243,93,745,578,2695,506,1767,186,258
425,27,7417,697,281,158,173,62,844,241,1137,4856,1014,30,75
426,27,5711,1461,466,379,67,92,1198,552,2782,2951,418,61,117
427,23,2161,974,100,238,370,49,1867,177,694,1053,704,242,165
428,22,5383,686,143,144,166,54,324,367,1282,2674,1495,132,281
429,21,7061,410,326,154,83,77,1892,178,1617,2567,1791,109,59
430,19,5119,913,430,57,368,18,1694,254,1452,1904,703,223,212
431,21,3368,316,197,116,201,31,1883,681,713,4370,746,144,258
432,27,3834,1505,307,240,144,27,1371,424,1972,4587,1516,227,61
433,27,4874,1183,364,415,198,85,797,276,1703,4922,1826,97,241
434,20,2516,1859,387,305,58,52,17,696,1683,2894,1593,289,215
435,27,5906,840,370,58,279,48,43,608,1692,1100,1073,49,307
436,18,1707,470,239,166,22,82,154,616,1255,3661,1657,249,29
437,25,4165,708,580,316,83,15,866,577,564,1636,964,145,254
438,22,3993,1039,336,148,48,92,921,66,1579,1455,337,191,344
439,21,2132,1701,561,347,391,57,1400,232,1390,3613,144,274,284
440,25,3602,1511,540,446,30,16,742,498,2946,38,718,268,88
441,24,4459,1157,491,213,116,89,1906,506,2542,3084,90,191,158
442,19,4583,529,171,425,377,78,1851,590,2393,4239,380,30,374
443,18,6252,418,254,190,222,25,1425,585,667,2731,1886,205,238
444,21,7019,1479,289,317,40,10,224,361,137,2415,1854,221,215
445,25,3431,1083,367,86,58,46,216,543,344,758,1228,25,93
446,19,5219,764,420,123,242,92,1591,522,120,4342,553,211,122
447,20,4062,403,206,122,121,46,30,25,1233,3116,324,227,244
448,18,3179,1927,331,357,65,90,1892,163,1729,764,1739,102,142
449,18,1736,997,141,248,85,73,1082,280,493,2422,1638,142,121
450,20,5943,1825,289,179,110,99,1915,604,1533,1314,228,148,283
451,22,6225,474,470,295,183,95,897,251,1086,4302,1825,166,180
452,20,3040,1044,238,361,130,71,1376,289,1771,3995,186,79,252
453,18,7599,1997,202,109,357,81,934,466,2155,4029,816,24,294
454,18,5443,1744,270,328,142,70,444,241,2475,3693,1037,244,277
455,25,6867,1457,450,152,212,42,1258,71,2010,3185,1809,221,330
456,27,1863,1714,372,345,118,75,1130,135,389,2866,1253,299,158
457,19,3868,1824,580,369,310,39,1214,557,1886,1317,1255,69,246
458,20,1785,964,515,390,178,29,529,584,2658,700,1332,261,292
459,19,1648,332,320,200,122,69,1936,560,1011,4383,292,11,336
460,20,6703,354,312,206,300,91,737,38,460,2201,1169,245,105
461,24,5537,818,440,255,62,83,1702,411,1722,1593,246,28,310
462,18,6051,1055,523,228,103,33,1606,648,2863,3987,1977,58,236
463,27,3266,1961,506,246,210,13,873,637,318,4945,575,87,378
464,25,6395,311,155,272,70,46,565,438,2553,4145,681,37,85
465,27,6780,1851,489,138,229,13,1268,328,2115,1230,1460,57,276
466,27,2512,1019,441,336,145,86,1885,205,2140,2612,457,105,154
467,27,4331,854,533,483,88,98,75,280,2144,3137,1342,174,394
468,19,4007,672,201,325,284,86,546,547,2900,1908,1244,185,74
469,20,3023,783,520,285,277,27,266,292,931,1790,1998,82,375
470,26,4285,1272,592,232,207,97,316,179,1893,2928,1657,38,262
471,24,4056,1970,291,258,249,75,1835,243,1891,1088,740,166,271
472,21,5225,1551,598,179,208,57,1144,275,2941,2381,219,288,40
473,27,6076,922,409,202,29,42,1859,199,1343,4127,208,292,326
474,22,7282,606,299,62,133,67,24,39,694,4963,1582,16,182
475,19,7757,756,332,171,95,92,1455,643,2254,2945,496,191,375
476,25,3101,459,532,408,183,82,159,651,680,3569,1739,118,283
477,21,3908,630,326,269,104,37,595,487,2756,1165,1987,215,87
478,26,1840,1075,470,155,68,44,1137,642,1847,600,1067,243,126
479,22,4317,524,238,424,345,19,1758,229,2155,2025,1155,196,86
480,26,7606,1282,443,119,196,74,899,532,2953,1584,1130,17,218
481,21,3996,1028,404,244,237,51,501,77,2336,987,1592,62,211
482,27,7462,1827,248,235,208,94,1189,112,180,1965,161,208,21
483,22,6430,1779,214,148,365,18,1012,240,2255,1439,97,146,276
484,26,6799,1368,549,131,249,69,702,251,1444,4615,1665,268,20
485,25,3225,1537,162,124,274,24,1198,383,1702,868,1960,181,377
486,20,3189,1382,203,423,255,66,0,634,2833,2063,425,95,134
487,18,4767,943,438,389,45,78,1922,581,445,1129,877,55,107
488,20,5906,915,458,241,91,31,740,393,1986,4378,82,195,216
489,21,1761,494,255,374,280,73,1109,641,2475,4456,553,165,111
490,19,2942,788,372,263,273,50,1597,475,654,3729,676,18,293
491,18,1905,456,105,364,290,96,319,107,401,1934,1969,124,363
492,24,3690,909,246,493,142,80,1424,39,299,1076,1076,163,179
493,25,5937,1549,283,431,163,65,381,33,1162,1639,1559,139,192
494,24,6935,711,585,416,276,32,1741,152,406,1392,1589,90,52
495,22,1743,1528,127,367,163,34,1640,53,1756,30,1941,299,92
496,18,6085,1402,549,193,278,15,1341,227,1971,703,1845,156,215
497,24,5607,1447,137,433,66,43,1826,218,2615,868,91,278,303
498,24,2060,770,218,265,370,72,1273,611,2326,232,58,142,106
499,26,5637,1541,392,410,32,18,1548,602,2792,950,1049,59,328
500,20,4225,815,470,373,395,69,1698,174,1946,58,868,32,243
501,26,2093,1925,343,64,227,58,1578,609,1864,2818,706,97,63
502,18,7048,1427,167,266,330,60,897,97,375,3600,1986,121,355
503,18,3326,692,313,488,254,69,1975,191,1275,3149,1682,120,157
504,21,4729,930,317,84,168,79,1646,308,1501,301,1861,81,289
505,26,4787,1968,276,232,341,46,716,564,2768,2850,1215,163,378
506,23,5573,907,398,319,174,40,1919,439,737,2944,839,66,55
507,20,7289,1279,263,482,185,50,1279,26,1875,1923,1509,266,53
508,18,1633,733,157,407,109,71,306,179,1029,316,1100,165,107
509,21,4638,1654,368,149,205,67,1973,259,1980,1888,1116,122,165
510,26,5419,1466,407,56,337,23,1167,442,282,2715,1204,56,35
511,20,6543,839,157,79,377,45,1681,555,1944,4785,1289,247,252
512,26,1572,577,387,354,193,45,390,89,171,1881,1679,115,60
513,24,5994,532,564,193,236,88,1836,235,2866,3898,1593,196,274
514,21,7024,1852,204,160,283,17,1699,123,1776,4113,647,168,300
515,20,5725,1894,327,281,116,35,1192,73,1395,1178,1418,207,145
516,27,4478,1413,346,228,136,45,989,349,2873,3855,1581,186,27
517,22,7407,1815,287,121,218,57,297,222,2416,4873,1723,270,387
518,22,7597,1522,593,259,339,94,232,307,1143,4455,1954,296,369
519,20,5861,661,182,269,40,37,1926,64,2725,331,1486,152,359
520,26,7156,1764,285,129,219,77,270,217,914,527,985,206,343
521,21,3485,325,351,132,390,71,1083,235,1626,2059,1319,234,195
522,22,2292,1348,454,91,360,89,1319,500,2294,1098,1522,52,247
523,21,7896,1717,337,322,267,95,1490,328,409,211,1061,160,342
524,22,6908,806,459,240,295,85,1258,454,2665,1714,70,72,386
525,24,5759,1624,283,222,283,89,676,351,2161,2688,1048,139,37
526,26,1594,1662,383,56,77,60,705,46,231,2330,1481,264,75
527,24,7401,566,484,204,321,51,233,185,1977,3266,506,223,54
528,22,2633,760,525,59,50,38,1391,337,2902,1032,1517,82,137
529,27,7979,755,309,83,268,91,1718,293,2586,1332,1063,113,301
530,27,6417,1683,403,85,112,19,844,402,2890,1840,1995,167,273
531,24,1737,1391,395,458,284,48,1255,384,839,4686,314,281,232
532,27,4446,1306,196,55,290,91,1896,122,894,2138,1733,247,80
533,22,4030,1162,546,457,113,10,490,522,2410,4551,233,167,107
534,20,3460,1735,559,451,173,48,1642,392,2790,4091,276,118,290
535,24,2548,790,555,264,304,30,502,635,357,443,1877,18,366
536,19,7272,1372,571,183,99,74,889,264,1357,4174,1621,68,51
537,26,4029,863,307,334,311,24,1758,188,2556,1498,1319,201,152
538,27,4464,1425,469,175,103,13,591,647,1951,926,1146,145,83
539,27,2463,515,487,458,384,69,745,672,1074,622,1223,260,218
540,18,2036,1761,521,488,393,70,1404,437,1147,1479,1586,155,275
541,23,7199,1892,591,386,56,29,1719,375,370,3037,1142,67,361
542,24,7575,858,510,223,361,19,427,497,1218,3385,1018,186,174
543,25,5723,458,236,201,346,96,696,144,241,3318,854,297,250
544,27,5179,788,466,380,251,43,645,556,1001,233,1303,254,320
545,26,5687,985,499,75,112,57,731,631,373,1617,772,57,54
546,19,5224,1565,283,432,355,42,799,421,2423,2691,1145,109,45
547,27,2042,1093,175,164,121,70,363,536,564,2030,1051,222,42
548,19,2345,304,386,431,185,19,201,550,1331,386,924,174,160
549,22,5103,1919,571,333,178,63,881,273,1419,1634,1681,135,304
550,22,7277,660,474,436,33,93,145,140,387,4133,1470,130,339
551,23,4536,758,241,124,392,74,835,51,975,1184,133,97,175
552,20,7447,547,336,215,244,86,638,680,2092,1967,789,226,132
553,25,3994,1889,124,238,92,10,1480,56,2327,240,1372,70,158
554,18,5985,1996,389,127,268,14,134,361,1220,561,1821,188,393
555,23,4219,1245,166,484,110,89,625,32,1314,1999,1366,199,228
556,21,3384,721,349,139,235,24,1287,202,546,4901,1807,172,342
557,18,5638,314,507,225,109,37,63,676,2932,1929,272,90,383
558,24,5849,1035,217,70,48,32,490,284,2708,4900,842,179,105
559,26,4701,1896,589,103,324,26,1670,107,2631,2779,782,205,304
560,21,6679,1445,172,233,239,22,40,481,2996,1675,1289,212,79
561,21,4210,576,381,408,347,23,1319,65,821,2515,1304,56,73
562,23,7930,1881,503,271,234,20,1026,411,2263,1677,454,167,112
563,20,7136,752,547,364,240,37,912,138,2682,4141,1242,203,344
564,23,3453,1713,459,377,61,51,1729,550,1451,3746,378,288,392
565,24,7988,1617,109,228,154,70,974,466,506,3356,475,278,284
566,27,6237,1897,310,325,61,73,1133,625,1825,1651,1627,208,232
567,27,5350,897,422,161,183,40,1244,65,793,4177,819,233,352
568,20,2189,745,251,273,380,90,1393,527,594,3841,1269,272,29
569,24,6872,509,104,263,302,82,367,577,1047,2441,1977,175,377
570,20,3450,1913,294,108,77,19,1459,545,122,4885,657,189,222
571,19,6675,1013,541,376,321,17,917,616,1228,594,1902,201,215
572,27,7082,601,382,442,341,30,1027,22,1798,2612,575,225,77
573,21,1956,1546,563,158,44,86,243,47,657,4096,674,293,275
574,25,6578,302,212,434,92,68,901,400,1716,1496,126,116,242
575,26,3630,1289,370,206,392,59,165,176,1040,3555,1350,107,388
576,24,5476,1841,262,240,148,78,1049,530,1345,4861,969,239,199
577,18,6718,1416,559,249,106,79,1418,352,1756,4766,995,266,381
578,20,5744,819,204,361,349,39,1497,133,177,3358,515,52,54
579,26,6948,1751,280,245,172,26,1040,408,1445,1601,1521,251,378
580,18,2679,792,143,84,201,84,727,506,906,914,1393,51,122
581,26,5785,1558,381,428,144,29,1115,269,1141,1844,1995,104,180
582,25,5065,919,274,436,86,57,482,590,867,1995,1233,263,219
583,18,2382,1484,261,295,25,82,542,334,553,94,541,197,179
584,23,7906,630,570,286,144,11,1228,258,2424,492,362,176,202
585,22,1899,632,450,153,333,46,1525,253,1547,3069,1704,280,372
586,23,2108,349,533,56,345,10,930,322,1599,149,1234,134,155
587,27,7391,1846,439,332,72,13,399,626,1150,1046,357,170,245
588,22,3138,1162,239,50,85,63,1230,672,2661,2803,1936,96,262
589,23,7171,1991,570,268,333,34,618,353,1988,398,1219,235,125
590,22,3648,1815,231,279,101,12,1169,132,2611,4950,1748,154,90
591,22,2882,1905,186,221,106,18,878,640,2954,4476,1469,257,96
592,21,2903,571,275,136,21,95,100,381,2971,551,740,15,73
593,20,2319,879,282,90,223,96,879,116,462,294,138,40,296
594,20,4792,1575,467,172,169,85,829,35,2898,1143,784,206,130
595,21,2319,859,228,380,312,83,1903,575,624,455,827,241,243
596,26,1919,995,345,347,122,43,1264,395,1317,1553,800,144,94
597,19,5719,1413,188,422,43,52,1946,409,1585,168,1381,22,33
598,26,6017,745,165,466,387,83,758,639,2203,4805,1619,13,277
599,18,4802,1316,257,227,231,31,162,236,1353,1946,420,187,208
600,18,3008,1655,486,112,84,79,1907,418,2636,253,500,243,383
601,22,7193,1462,477,214,228,11,1196,279,1955,2376,216,268,258
602,23,2267,656,248,236,270,75,501,339,821,1320,441,149,353
603,23,3544,1924,572,432,136,41,546,215,2083,2883,1710,74,323
604,20,7798,573,439,258,135,25,1307,497,1307,3607,785,292,110
605,24,3639,1342,532,276,256,85,1382,437,1548,2125,540,214,203
606,26,4529,610,215,481,124,10,380,494,1498,3496,974,26,36
607,27,3049,1169,313,438,278,81,869,626,2188,2240,1223,209,31
608,25,3264,1185,568,97,65,57,904,587,1607,400,1541,41,185
609,23,7640,453,545,273,330,59,1995,563,1103,2156,1774,221,165
610,25,4145,1713,580,52,350,22,1934,250,2407,2376,1116,282,301
611,22,5216,1583,471,421,235,24,1556,540,2588,362,994,299,56
612,25,6105,919,393,224,320,62,1843,219,1025,3938,78,243,89
613,27,6802,1182,352,495,352,53,1186,692,955,3851,1947,191,188
614,21,5981,1096,242,148,43,17,1001,618,183,3412,1705,155,354
615,27,7193,1894,349,165,54,83,608,40,2193,2306,1922,59,189
616,25,3793,424,465,319,43,55,306,330,2587,84,1104,112,272
617,27,6337,1677,535,496,47,78,1362,607,1642,1824,742,42,365
618,19,4208,1596,562,417,35,28,54,672,1085,3885,1747,98,316
619,22,7507,918,401,302,78,47,982,657,1968,307,177,250,161
620,26,7042,544,124,366,262,20,332,615,235,4357,816,275,292
621,21,2400,1147,376,464,226,52,126,453,1306,1921,1367,232,244
622,23,7708,749,571,144,290,29,1963,390,1832,630,490,245,202
623,18,4584,1229,476,322,268,29,704,579,1295,4775,918,162,240
624,26,7856,1570,477,429,286,30,242,97,1008,4960,1461,66,72
625,18,3509,819,488,73,212,91,1884,561,2935,2371,1839,121,137
626,22,1741,1464,169,165,354,66,599,304,689,3300,1715,24,384
627,21,3885,661,212,200,237,59,1871,667,2051,3667,573,278,178
628,20,7616,307,462,387,134,83,1432,159,1055,726,1620,123,155
629,23,5768,777,211,99,87,35,502,572,2837,1648,1783,261,96
630,19,2171,1675,463,255,318,39,1750,301,2686,4312,809,151,355
631,20,1663,794,402,384,344,82,603,581,1243,1269,159,123,64
632,22,1964,1929,570,128,94,40,302,277,1431,4543,1401,299,37
633,26,4542,1132,551,119,122,51,1487,379,2855,318,1478,34,374
634,19,6092,1750,190,76,316,77,234,459,1653,3475,1318,264,224
635,27,6295,1362,117,320,197,70,1719,289,2442,2778,1835,277,343
636,25,3942,892,248,99,234,70,1061,153,1906,3058,1951,135,102
637,19,6298,486,575,341,334,79,138,659,2200,4134,1902,259,69
638,22,7536,1919,326,296,58,87,194,123,905,1602,212,296,300
639,24,3855,1923,313,313,278,77,1550,114,1555,2256,609,62,185
640,25,7387,1053,459,128,223,99,1792,592,151,829,448,52,262
641,18,5778,392,250,436,26,26,646,499,2875,855,632,175,396
642,23,6224,385,291,239,68,28,0,260,171,2648,448,51,183
643,18,4057,1367,550,96,45,60,560,32,127,1858,1566,185,343
644,19,7327,436,139,410,180,79,1119,166,568,1102,1719,76,75
645,18,2045,720,341,403,376,72,712,620,863,2481,288,75,58
646,22,7183,373,237,401,195,84,412,114,2694,1820,1538,92,338
647,27,6219,1871,444,238,98,89,537,312,1524,4937,1653,114,147
648,26,5335,1936,279,465,21,39,1878,44,2348,2079,1863,296,141
649,23,2093,1835,596,305,151,34,428,291,919,3158,1105,195,266
650,18,6339,1479,299,271,295,84,234,524,1589,2440,1196,293,205
651,18,7364,1578,302,421,136,80,348,185,1775,3684,1607,13,227
652,19,5304,470,160,290,183,35,1779,106,659,1255,1740,147,334
653,26,2959,469,291,318,307,65,1893,673,478,2957,159,188,323
654,20,7544,1171,104,50,47,31,1504,665,2018,3651,1344,246,258
655,18,4993,621,477,83,352,98,1862,657,1175,2239,1453,27,234
656,22,4101,1890,336,495,20,28,395,510,178,1939,349,18,311
657,24,7664,755,280,128,207,40,1374,160,1508,269,1700,38,243
658,23,3944,1243,410,285,75,35,415,122,933,4830,1805,153,107
659,18,4172,1926,136,383,54,51,1909,245,1131,4064,1051,158,44
660,22,5700,1089,155,426,131,50,915,594,2172,4979,1815,73,239
661,22,7835,912,542,398,305,32,1910,313,549,3775,813,196,294
662,23,1516,1478,336,147,329,56,1074,325,2915,1112,298,236,154
663,20,4691,1188,457,131,55,22,80,273,2902,648,570,127,252
664,22,1892,648,448,464,236,98,35,199,2092,1179,83,263,85
665,24,1924,1774,296,241,99,75,1090,59,1584,2142,277,40,99
666,22,7772,1976,172,302,333,75,640,539,2345,16,634,170,274
667,22,2071,1496,158,458,102,25,881,635,1842,116,1472,224,144
668,22,5131,309,339,87,84,82,1690,565,2070,1545,1007,178,165
669,27,7672,1039,101,63,344,37,756,255,2584,3151,862,90,122
670,27,2620,1588,548,441,147,86,622,482,1650,2693,773,55,296
671,20,1741,1761,459,396,326,44,1703,247,789,4089,633,58,143
672,18,5397,1570,287,359,41,50,1504,502,2090,1276,619,292,286
673,22,5595,966,406,435,235,86,467,449,1501,3240,269,97,297
674,26,3779,845,129,258,126,40,1165,41,686,4942,1444,130,130
675,18,2288,1822,366,406,128,94,355,362,2251,3788,836,12,332
676,20,2214,428,575,138,391,41,708,59,1929,371,1834,236,108
677,21,6354,1995,207,105,376,63,1494,192,2085,2807,577,88,177
678,18,4349,900,431,143,200,81,1644,458,726,155,124,154,235
679,18,2275,904,522,142,375,68,1019,198,2131,2661,1691,251,320
680,25,5526,626,189,389,183,50,1911,617,2605,464,185,41,55
681,19,3747,1279,304,134,87,75,1614,152,463,4878,123,272,106
682,25,1578,703,478,494,311,63,901,370,2282,4899,303,220,137
683,24,5426,928,555,294,199,49,672,544,473,4315,1091,80,347
684,27,2355,1929,546,71,200,37,438,559,2186,1773,1071,206,201
685,27,7035,1998,547,340,188,46,530,525,2087,116,1116,67,87
686,19,7730,1934,544,321,41,74,126,103,2966,2103,99,121,378
687,23,3648,1948,480,355,85,83,204,483,2194,1374,564,57,178
688,23,2531,1682,537,171,40,64,28,362,2183,3203,793,194,304
689,20,6440,1926,319,177,119,13,444,299,2242,4403,780,174,183
690,19,4771,1017,477,162,319,19,965,282,1484,3546,620,224,380
691,18,5076,1340,193,476,122,56,1742,185,1648,3977,1869,130,92
692,23,5682,573,556,322,66,84,463,312,1269,4317,1887,222,138
693,22,7686,984,202,385,58,23,1303,528,2040,1196,625,50,360
694,26,4956,415,322,491,304,47,150,599,467,3411,1655,298,214
695,18,5006,1160,285,179,329,21,239,245,164,796,1376,177,108
696,24,1907,992,568,181,109,54,265,189,853,3892,1215,43,364
697,22,4211,1414,283,134,104,26,1717,617,1643,150,952,284,95
698,22,4588,1405,594,472,292,89,1128,664,2135,3249,251,206,240
699,19,3168,623,261,399,355,44,1960,467,2963,111,256,200,158
700,20,1647,1260,346,439,207,75,1456,521,1976,682,464,230,391
701,24,7920,413,130,130,178,84,912,546,1678,1161,270,19,260
702,23,5827,1381,151,374,262,50,496,398,855,2379,1435,129,173
703,19,5397,453,444,118,92,76,1463,220,2328,4988,807,132,72
704,23,3450,1727,175,197,68,38,1771,638,1624,160,1154,256,161
705,19,1865,1951,484,497,120,27,684,269,696,1425,812,230,339
706,19,3174,1589,538,65,21,29,157,428,2934,3661,612,270,50
707,19,6031,614,377,356,263,23,171,620,2774,277,1358,67,242
708,20,5994,1364,139,154,195,43,493,144,1934,3391,418,137,311
709,19,6830,404,200,214,257,58,969,132,2763,1556,1565,196,285
710,21,7010,1516,210,250,78,63,1334,156,1495,4592,1984,214,301
711,26,4046,1724,484,246,372,40,1426,515,1686,1915,945,95,295
712,23,2062,1601,420,475,118,67,1692,697,211,4750,1419,113,63
713,18,5062,653,348,234,378,51,1793,169,552,3107,253,152,81
714,25,3989,1315,290,371,21,67,675,362,2903,302,1098,214,220
715,24,6880,1032,589,314,262,91,658,599,2731,4533,1006,138,354
716,27,2272,1903,281,412,316,39,902,340,2286,2773,1626,255,28
717,20,7993,1008,525,149,230,34,665,551,1971,4281,118,47,90
718,18,3537,1579,504,391,142,72,1486,308,2378,3245,565,118,109
719,22,4923,950,434,369,248,28,366,508,1362,4768,1565,61,43
720,21,4067,1123,308,263,101,81,549,511,352,1000,289,10,159
721,27,6939,1246,121,327,163,17,642,631,2104,3834,410,20,335
722,25,7781,960,265,211,159,12,1893,271,1559,4006,1514,244,359
723,18,3073,398,198,488,48,76,254,96,2042,4778,1104,137,395
724,27,5194,887,592,206,289,95,207,666,2708,1718,1972,223,97
725,18,6587,581,307,471,266,90,449,411,1426,3830,1702,252,233
726,21,4791,702,107,300,31,26,94,431,2219,3181,756,53,35
727,25,2746,1432,289,415,374,23,1883,192,1957,2882,1675,15,48
728,22,5219,999,274,146,356,18,838,220,2369,998,739,165,394
729,19,5339,498,372,67,125,71,477,236,1200,284,706,17,310
730,23,1859,1626,116,376,51,30,682,395,161,420,1787,14,62
731,22,6516,626,189,498,93,85,761,605,1594,2160,1395,191,371
732,19,3876,453,240,432,190,46,189,30,1280,3065,393,121,394
733,20,4509,851,244,146,356,20,710,31,905,2275,1788,282,72
734,26,4493,1968,265,50,88,29,1507,609,2272,1494,585,274,295
735,24,2462,704,436,265,320,44,1756,454,2888,3884,404,221,390
736,24,5132,761,595,181,381,62,1559,627,1975,4623,1544,87,251
737,23,3327,431,177,309,156,56,755,392,2308,2543,977,279,231
738,25,3113,1090,528,174,119,84,1446,292,640,4126,1032,163,27
739,21,3140,1173,361,131,165,61,835,595,725,4257,154,230,141
740,25,3716,383,262,332,28,17,1663,528,1714,1841,1860,34,61
741,21,5812,1722,465,220,81,13,1628,151,205,4800,1395,217,352
742,25,1877,1053,113,108,204,36,1835,338,1254,721,1645,12,252
743,26,5714,927,338,81,48,53,132,640,1808,1401,1956,224,89
744,20,5785,1432,171,210,133,49,54,187,2923,445,1011,121,386
745,20,1869,520,544,333,162,56,509,416,2008,2791,576,201,35
746,19,7397,852,242,155,139,53,669,199,2149,4522,553,56,88
747,27,3696,1691,409,154,189,57,1564,77,2380,3767,1158,230,72
748,20,5247,1470,382,488,176,94,409,499,468,2551,980,196,192
749,20,2151,411,368,277,354,61,1234,610,1374,1967,758,59,281
750,22,7478,914,340,237,368,93,1689,479,1045,3888,284,206,398
751,22,7107,1881,514,119,279,77,1316,80,2327,4816,1996,225,308
752,19,2269,1223,344,367,101,20,986,388,392,2731,1929,230,34
753,27,3921,1817,262,339,261,86,733,140,683,2629,1336,99,289
754,23,2280,1828,159,136,191,82,1138,565,2942,1964,1079,241,186
755,22,3216,774,105,419,250,13,1972,601,2322,1057,543,267,82
756,23,7803,1135,296,411,227,85,1693,36,2270,4831,1966,162,280
757,18,7994,570,569,105,94,82,258,515,2374,757,1362,265,140
758,22,5483,720,157,162,289,86,1786,516,2591,1795,1643,267,365
759,26,2811,1006,404,62,133,57,1145,524,2575,1643,1730,74,259
760,27,4859,1690,506,489,81,35,298,551,864,4849,927,199,126
761,19,6845,1603,316,67,381,86,1798,334,2779,23,1627,100,199
762,18,2022,1606,517,231,339,48,1404,88,2212,1239,1423,182,35
763,27,2021,339,125,162,121,67,560,180,1404,4150,1273,256,374
764,26,6378,488,402,278,381,28,1912,633,1514,3097,1759,265,328
765,27,3820,1487,104,220,229,97,1864,164,527,1304,1016,125,234
766,26,2435,1293,573,344,274,92,1524,588,2765,2542,1015,58,96
767,26,3730,1859,119,238,39,86,296,614,2114,3712,1013,236,244
768,23,5540,835,489,475,77,86,361,404,2959,3955,946,78,112
769,25,7284,1327,297,128,131,67,588,288,206,4529,1408,135,200
770,18,6083,589,158,195,332,37,1486,473,758,4303,1680,222,193
771,27,7446,732,547,456,215,75,1461,537,1282,4228,266,62,373
772,21,6441,770,341,231,394,19,126,369,2412,1305,672,121,373
773,18,7767,1504,245,335,372,95,196,129,1325,4464,402,168,238
774,25,5197,1571,487,299,111,86,220,502,254,3174,741,249,162
775,18,4337,927,372,403,71,67,994,426,995,3628,724,159,334
776,20,5583,578,348,363,312,82,90,669,1621,781,680,148,301
777,21,3961,1176,113,245,27,23,410,70,1720,566,374,122,278
778,25,7599,880,561,372,319,93,7,422,1092,4622,950,152,375
779,23,7344,1162,112,120,117,24,543,582,2392,4132,1301,147,66
780,27,4743,553,490,297,255,42,467,495,1423,4273,1218,40,24
781,24,4859,480,483,195,393,26,319,106,1485,638,357,117,81
782,25,2185,980,143,155,88,33,1417,87,2533,3700,703,293,103
783,19,3660,1124,474,312,64,39,268,615,2906,4167,1707,168,152
784,27,5488,1832,498,345,156,71,1214,61,2561,2399,334,23,355
785,25,5566,999,118,119,253,22,1884,76,1401,2670,441,131,82
786,20,7765,865,162,242,51,71,1698,215,2862,1172,1811,224,300
787,24,3067,1649,590,117,308,56,60,697,858,1720,409,281,63
788,20,6841,1680,338,354,145,25,1461,81,846,104,818,34,172
789,24,1538,1973,591,101,86,75,1287,282,692,1682,846,178,289
790,19,4044,979,518,419,49,90,796,131,1648,4316,981,112,361
791,27,6375,690,436,412,133,52,1118,197,2986,1849,214,49,190
792,23,2756,1938,518,334,223,17,552,45,115,862,782,244,175
793,20,4490,1408,502,454,48,12,925,429,1092,3445,630,98,294
794,20,3696,1640,503,383,150,21,1493,550,1168,2565,870,109,377
795,26,4968,511,199,58,204,93,660,336,1444,298,1297,153,39
796,24,4208,1838,262,300,272,25,715,551,2798,2908,173,91,233
797,22,7523,683,515,480,305,87,778,125,2295,4137,393,86,98
798,27,1801,641,221,381,81,89,1537,483,2502,770,1924,68,158
799,24,7881,1143,531,347,22,68,1713,265,802,2539,573,238,117
800,26,2146,1361,143,484,87,58,1960,100,712,1462,1125,100,396
801,18,6258,1834,459,233,44,72,193,681,204,3854,178,10,171
802,24,7879,719,507,228,198,71,481,415,1597,3118,1208,278,217
803,23,3259,1050,416,247,160,58,1922,541,495,2132,706,295,292
804,27,7846,1492,480,177,250,60,1359,283,2753,1709,1200,206,175
805,26,5851,1666,244,69,319,42,1458,680,2110,990,787,283,69
806,18,2097,605,426,460,182,39,1219,293,950,710,988,87,247
807,21,2161,1865,462,471,330,68,854,191,2088,4304,120,150,29
808,26,5830,1001,149,377,149,85,1272,284,541,38,322,297,168
809,21,2868,1168,164,114,265,24,497,45,1768,1275,1260,80,77
810,27,4081,836,454,231,316,91,211,488,972,4857,1076,59,181
